"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.0.183","104.17.64.70","UDP","1292","60492  >  443 Len=1250"
"2","0.000072","192.168.0.183","104.17.64.70","UDP","1292","60492  >  443 Len=1250"
"3","0.000101","192.168.0.183","104.17.64.70","UDP","1292","60492  >  443 Len=1250"
"4","0.000130","192.168.0.183","104.17.64.70","UDP","1290","60492  >  443 Len=1248"
"5","0.014990","104.17.64.70","192.168.0.183","UDP","68","443  >  60492 Len=26"
"6","0.227269","192.168.0.183","104.17.64.70","UDP","83","60492  >  443 Len=41"
"7","0.241825","104.17.64.70","192.168.0.183","UDP","67","443  >  60492 Len=25"
"8","0.403350","104.17.64.70","192.168.0.183","UDP","1242","443  >  60492 Len=1200"
"9","0.403350","104.17.64.70","192.168.0.183","UDP","1242","443  >  60492 Len=1200"
"10","0.403350","104.17.64.70","192.168.0.183","UDP","1242","443  >  60492 Len=1200"
"11","0.403350","104.17.64.70","192.168.0.183","UDP","1242","443  >  60492 Len=1200"
"12","0.403350","104.17.64.70","192.168.0.183","UDP","1242","443  >  60492 Len=1200"
"13","0.403350","104.17.64.70","192.168.0.183","UDP","1242","443  >  60492 Len=1200"
"14","0.403350","104.17.64.70","192.168.0.183","UDP","1242","443  >  60492 Len=1200"
"15","0.403350","104.17.64.70","192.168.0.183","UDP","1242","443  >  60492 Len=1200"
"16","0.403350","104.17.64.70","192.168.0.183","UDP","1242","443  >  60492 Len=1200"
"17","0.403350","104.17.64.70","192.168.0.183","UDP","1242","443  >  60492 Len=1200"
"18","0.403350","104.17.64.70","192.168.0.183","UDP","1242","443  >  60492 Len=1200"
"19","0.403350","104.17.64.70","192.168.0.183","UDP","1242","443  >  60492 Len=1200"
"20","0.403350","104.17.64.70","192.168.0.183","UDP","1242","443  >  60492 Len=1200"
"21","0.403350","104.17.64.70","192.168.0.183","UDP","459","443  >  60492 Len=417"
"22","0.403350","104.17.64.70","192.168.0.183","UDP","1242","443  >  60492 Len=1200"
"23","0.403350","104.17.64.70","192.168.0.183","UDP","1242","443  >  60492 Len=1200"
"24","0.403350","104.17.64.70","192.168.0.183","UDP","1242","443  >  60492 Len=1200"
"25","0.403350","104.17.64.70","192.168.0.183","UDP","1242","443  >  60492 Len=1200"
"26","0.403350","104.17.64.70","192.168.0.183","UDP","1242","443  >  60492 Len=1200"
"27","0.403350","104.17.64.70","192.168.0.183","UDP","1242","443  >  60492 Len=1200"
"28","0.403350","104.17.64.70","192.168.0.183","UDP","1242","443  >  60492 Len=1200"
"29","0.403350","104.17.64.70","192.168.0.183","UDP","1242","443  >  60492 Len=1200"
"30","0.403350","104.17.64.70","192.168.0.183","UDP","1242","443  >  60492 Len=1200"
"31","0.403350","104.17.64.70","192.168.0.183","UDP","1242","443  >  60492 Len=1200"
