Label,Packet Count,Total Length,Average Packet Interval,Maximum Packet Interval,Minimum Packet Interval,Average Packet Length,Maximum Packet Length,Minimum Packet Length,Most Common Packet Length
Stack Overflow,509,387878,0.053251326129666016,5.168539,2.200000000129876e-05,762.0392927308447,1514,54,1514
Stack Overflow,428,287856,0.08015503738317757,9.853453,2.5999999998305157e-05,672.5607476635514,1514,54,1514
Stack Overflow,504,369653,0.08959133531746032,18.658896,2.1000000003823516e-05,733.438492063492,1514,54,1514
Stack Overflow,432,293395,0.07977693287037037,10.868492,1.9999999999242846e-05,679.1550925925926,1514,54,1514
Stack Overflow,602,443445,0.06320656478405315,7.997445000000001,1.2000000000012001e-05,736.6196013289036,1514,54,1514
Stack Overflow,577,402255,0.051246344887348354,3.9508080000000003,2.5999999998305157e-05,697.1490467937608,1514,54,1514
Stack Overflow,417,281669,0.0844842829736211,6.345362999999999,2.5000000000829914e-05,675.4652278177458,1514,54,1514
Stack Overflow,552,388156,0.061940811594202894,4.759779,2.600000000000001e-05,703.1811594202899,1514,54,1514
Stack Overflow,626,423248,0.0531089840255591,4.522149999999996,9.999999974752427e-07,676.1150159744409,1514,54,1514
Stack Overflow,629,436184,0.047555238473767886,3.372361999999999,2.6999999999333113e-05,693.456279809221,1514,54,1514
Stack Overflow,354,230748,0.08150920903954802,8.052013,2.6999999999333113e-05,651.8305084745763,1514,54,1514
Stack Overflow,606,412975,0.05121217161716172,3.7432549999999996,2.2999999998774e-05,681.476897689769,1514,54,1514
Stack Overflow,631,437842,0.057614565768621236,4.633611999999999,2.8000000000028002e-05,693.8858954041204,1514,54,1514
Stack Overflow,548,383149,0.05542780291970803,4.441348999999999,1.9000000001767603e-05,699.17700729927,1514,54,1514
Stack Overflow,449,300008,0.0995691692650334,25.758209,2.7000000002885827e-05,668.1692650334076,1514,54,1514
