"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.0.183","172.64.155.249","TCP","55","51124  >  443 [ACK] Seq=1 Ack=1 Win=511 Len=1 [TCP segment of a reassembled PDU]"
"2","0.018988","172.64.155.249","192.168.0.183","TCP","66","443  >  51124 [ACK] Seq=1 Ack=2 Win=136 Len=0 SLE=1 SRE=2"
"3","0.252488","192.168.0.183","172.64.155.249","TLSv1.2","407","Ignored Unknown Record"
"4","0.252559","192.168.0.183","172.64.155.249","TLSv1.2","93","Application Data"
"5","0.252587","192.168.0.183","172.64.155.249","TLSv1.2","170","Application Data"
"6","0.261484","192.168.0.183","172.64.155.249","TLSv1.2","148","Application Data"
"7","0.268537","172.64.155.249","192.168.0.183","TCP","60","443  >  51124 [ACK] Seq=1 Ack=510 Win=137 Len=0"
"8","0.268537","172.64.155.249","192.168.0.183","TLSv1.2","93","Application Data"
"9","0.296442","172.64.155.249","192.168.0.183","TLSv1.2","279","Application Data"
"10","0.296471","192.168.0.183","172.64.155.249","TCP","54","51124  >  443 [ACK] Seq=604 Ack=265 Win=510 Len=0"
"11","0.426756","192.168.0.183","172.64.155.249","TLSv1.2","176","Application Data"
"12","0.453067","172.64.155.249","192.168.0.183","TLSv1.2","326","Application Data"
"13","0.453067","172.64.155.249","192.168.0.183","TLSv1.2","100","Application Data"
"14","0.453067","172.64.155.249","192.168.0.183","TLSv1.2","1324","Application Data"
"15","0.453116","192.168.0.183","172.64.155.249","TCP","54","51124  >  443 [ACK] Seq=726 Ack=1853 Win=514 Len=0"
"16","0.454083","192.168.0.183","172.64.155.249","TLSv1.2","89","Application Data"
"17","0.454921","172.64.155.249","192.168.0.183","TCP","1514","443  >  51124 [ACK] Seq=1853 Ack=726 Win=137 Len=1460 [TCP segment of a reassembled PDU]"
"18","0.454921","172.64.155.249","192.168.0.183","TCP","1514","443  >  51124 [ACK] Seq=3313 Ack=726 Win=137 Len=1460 [TCP segment of a reassembled PDU]"
"19","0.454921","172.64.155.249","192.168.0.183","TCP","1514","443  >  51124 [ACK] Seq=4773 Ack=726 Win=137 Len=1460 [TCP segment of a reassembled PDU]"
"20","0.454921","172.64.155.249","192.168.0.183","TLSv1.2","604","Application Data"
"21","0.454921","172.64.155.249","192.168.0.183","TCP","1514","443  >  51124 [ACK] Seq=6783 Ack=726 Win=137 Len=1460 [TCP segment of a reassembled PDU]"
"22","0.454921","172.64.155.249","192.168.0.183","TCP","1514","443  >  51124 [ACK] Seq=8243 Ack=726 Win=137 Len=1460 [TCP segment of a reassembled PDU]"
"23","0.454921","172.64.155.249","192.168.0.183","TLSv1.2","633","Application Data"
