Label,Packet Count,Total Length,Average Packet Interval,Maximum Packet Interval,Minimum Packet Interval,Average Packet Length,Maximum Packet Length,Minimum Packet Length,Most Common Packet Length
X,541,487314,0.06612846950092421,2.9930319999999995,2.599999999985947e-05,900.7652495378928,1414,54,1414
X,351,316597,0.11303877207977207,5.118297,3.900000000101045e-05,901.985754985755,1414,54,1414
X,457,435816,0.07546140919037199,2.9173040000000015,5.200000000016303e-05,953.6455142231947,1414,54,1414
X,401,393946,0.06347501246882793,2.817153,3.5999999999702936e-05,982.4089775561097,1414,54,1414
X,481,488400,0.06403367775467775,3.4565990000000006,9.000000000369823e-06,1015.3846153846154,1414,54,1414
X,578,577425,0.06254670934256056,2.968326000000001,2.3999999999801958e-05,999.0051903114187,1414,54,1414
X,560,559125,0.06160392142857143,3.2655390000000004,3.199999999736747e-05,998.4375,1414,54,1414
X,489,472671,0.07834654192229039,3.5830480000000016,3.0999999999892225e-05,966.6073619631902,1414,54,1414
X,631,629150,0.0667969445324881,2.8331869999999952,2.5000000000829914e-05,997.068145800317,1414,54,1414
X,702,729140,0.044819235042735044,3.0557290000000004,3.699999999999537e-05,1038.6609686609686,1414,54,1414
X,678,690483,0.06598815634218289,3.3532030000000006,3.599999999792658e-05,1018.4115044247787,1414,54,1414
X,492,473524,0.081886168699187,2.9831590000000006,3.500000000045134e-05,962.4471544715448,1414,54,1414
X,673,690662,0.0600548558692422,3.190768000000002,3.2999999998395424e-05,1026.2436849925705,1414,54,1414
X,434,418251,0.09174464285714286,3.9940500000000014,2.1000000000048757e-05,963.7119815668203,1414,54,1414
X,883,943767,0.038148158550396376,2.776888999999997,3.599999999792658e-05,1068.818799546999,1414,54,1414
