"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.0.183","104.244.42.65","TLSv1.2","235","Application Data"
"2","0.000092","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=182 Ack=1 Win=1036 Len=1360 [TCP segment of a reassembled PDU]"
"3","0.000092","192.168.0.183","104.244.42.65","TLSv1.2","68","Application Data"
"4","0.037727","104.244.42.65","192.168.0.183","TCP","60","443  >  50717 [ACK] Seq=1 Ack=1556 Win=7926 Len=0"
"5","0.058687","104.244.42.65","192.168.0.183","TLSv1.2","184","Application Data"
"6","0.110318","192.168.0.183","104.244.42.65","TCP","54","50717  >  443 [ACK] Seq=1556 Ack=131 Win=1036 Len=0"
"7","0.336210","192.168.0.183","104.244.42.65","TCP","1414","50717  >  443 [ACK] Seq=1556 Ack=131 Win=1036 Len=1360 [TCP segment of a reassembled PDU]"
"8","0.336210","192.168.0.183","104.244.42.65","TLSv1.2","141","Application Data"
"9","0.336607","192.168.0.183","104.244.42.65","TLSv1.2","357","Application Data"
"10","0.373489","104.244.42.65","192.168.0.183","TCP","60","443  >  50717 [ACK] Seq=131 Ack=3306 Win=7926 Len=0"
"11","0.754424","104.244.42.65","192.168.0.183","TLSv1.2","189","Application Data"
"12","0.806191","192.168.0.183","104.244.42.65","TCP","54","50717  >  443 [ACK] Seq=3306 Ack=266 Win=1041 Len=0"
"13","1.640942","104.244.42.65","192.168.0.183","TCP","1414","443  >  50717 [ACK] Seq=266 Ack=3306 Win=7930 Len=1360 [TCP segment of a reassembled PDU]"
"14","1.640942","104.244.42.65","192.168.0.183","TCP","1414","443  >  50717 [ACK] Seq=1626 Ack=3306 Win=7930 Len=1360 [TCP segment of a reassembled PDU]"
"15","1.640942","104.244.42.65","192.168.0.183","TCP","1414","443  >  50717 [PSH, ACK] Seq=2986 Ack=3306 Win=7930 Len=1360 [TCP segment of a reassembled PDU]"
"16","1.640942","104.244.42.65","192.168.0.183","TCP","1414","443  >  50717 [ACK] Seq=4346 Ack=3306 Win=7930 Len=1360 [TCP segment of a reassembled PDU]"
"17","1.640942","104.244.42.65","192.168.0.183","TCP","1414","443  >  50717 [ACK] Seq=5706 Ack=3306 Win=7930 Len=1360 [TCP segment of a reassembled PDU]"
"18","1.640942","104.244.42.65","192.168.0.183","TCP","1414","443  >  50717 [PSH, ACK] Seq=7066 Ack=3306 Win=7930 Len=1360 [TCP segment of a reassembled PDU]"
"19","1.640942","104.244.42.65","192.168.0.183","TCP","1414","443  >  50717 [ACK] Seq=8426 Ack=3306 Win=7930 Len=1360 [TCP segment of a reassembled PDU]"
"20","1.640942","104.244.42.65","192.168.0.183","TCP","1414","443  >  50717 [ACK] Seq=9786 Ack=3306 Win=7930 Len=1360 [TCP segment of a reassembled PDU]"
"21","1.640942","104.244.42.65","192.168.0.183","TCP","1414","443  >  50717 [PSH, ACK] Seq=11146 Ack=3306 Win=7930 Len=1360 [TCP segment of a reassembled PDU]"
"22","1.640942","104.244.42.65","192.168.0.183","TCP","1414","443  >  50717 [ACK] Seq=12506 Ack=3306 Win=7930 Len=1360 [TCP segment of a reassembled PDU]"
"23","1.640942","104.244.42.65","192.168.0.183","TCP","1414","443  >  50717 [ACK] Seq=13866 Ack=3306 Win=7930 Len=1360 [TCP segment of a reassembled PDU]"
"24","1.640942","104.244.42.65","192.168.0.183","TCP","1414","443  >  50717 [PSH, ACK] Seq=15226 Ack=3306 Win=7930 Len=1360 [TCP segment of a reassembled PDU]"
"25","1.640942","104.244.42.65","192.168.0.183","TLSv1.2","1414","Application Data"
"26","1.640942","104.244.42.65","192.168.0.183","TCP","1414","443  >  50717 [ACK] Seq=17946 Ack=3306 Win=7930 Len=1360 [TCP segment of a reassembled PDU]"
"27","1.640942","104.244.42.65","192.168.0.183","TCP","1414","443  >  50717 [PSH, ACK] Seq=19306 Ack=3306 Win=7930 Len=1360 [TCP segment of a reassembled PDU]"
"28","1.640942","104.244.42.65","192.168.0.183","TCP","1414","443  >  50717 [ACK] Seq=20666 Ack=3306 Win=7930 Len=1360 [TCP segment of a reassembled PDU]"
"29","1.641050","192.168.0.183","104.244.42.65","TCP","54","50717  >  443 [ACK] Seq=3306 Ack=22026 Win=1041 Len=0"
"30","1.642144","104.244.42.65","192.168.0.183","TCP","1414","443  >  50717 [ACK] Seq=22026 Ack=3306 Win=7930 Len=1360 [TCP segment of a reassembled PDU]"
"31","1.642144","104.244.42.65","192.168.0.183","TLSv1.2","575","Application Data"
"32","1.642165","192.168.0.183","104.244.42.65","TCP","54","50717  >  443 [ACK] Seq=3306 Ack=23907 Win=1041 Len=0"
"33","1.843530","192.168.0.183","104.244.42.65","TLSv1.2","256","Application Data"
"34","1.843705","192.168.0.183","104.244.42.65","TLSv1.2","799","Application Data"
