Label,Packet Count,Total Length,Average Packet Interval,Maximum Packet Interval,Minimum Packet Interval,Average Packet Length,Maximum Packet Length,Minimum Packet Length,Most Common Packet Length
1,1974,2088574,0.014633753,11.411785,1.10E-05,1058.04154,1514,54,1242
1,3306,3445557,0.008933813,13.381195,3.00E-06,1042.213249,1514,54,1242
1,11753,12656262,0.0026832,3.417071,2.00E-06,1076.853739,1292,55,1242
1,2755,2896793,0.009738193,3.9613,5.00E-06,1051.467514,1292,55,1242
1,359,302368,0.106493593,9.352738,2.60E-05,842.2506964,1292,55,1242
1,818,702095,0.051565867,12.466551,1.60E-05,858.306846,1292,54,1242
1,451,299928,0.083357011,14.685958,2.40E-05,665.0288248,1292,54,1292
1,1345,1134747,0.021916991,2.716968,7.00E-06,843.6780669,1292,65,1242
1,5609,5827682,0.00525483,3.205103,6.00E-06,1038.987698,1292,65,1242
1,2464,2556838,0.013668006,18.615947,5.00E-06,1037.67776,1292,65,1242
1,431,326449,0.066503097,12.20651,2.50E-05,757.4222738,1292,65,1292
1,442,303110,0.072936457,17.861993,2.40E-05,685.7692308,1292,65,1242
1,913,702620,0.042887346,3.204735,2.30E-05,769.5728368,1292,65,1242
1,661,544623,0.05881102,12.248888,2.40E-05,823.9379728,1292,65,1242
1,270,200578,0.143813226,21.553477,2.40E-05,742.8814815,1292,65,1292
2,541,487314,0.06612847,2.993032,2.60E-05,900.7652495,1414,54,1414
2,351,316597,0.113038772,5.118297,3.90E-05,901.985755,1414,54,1414
2,457,435816,0.075461409,2.917304,5.20E-05,953.6455142,1414,54,1414
2,401,393946,0.063475012,2.817153,3.60E-05,982.4089776,1414,54,1414
2,481,488400,0.064033678,3.456599,9.00E-06,1015.384615,1414,54,1414
2,578,577425,0.062546709,2.968326,2.40E-05,999.0051903,1414,54,1414
2,560,559125,0.061603921,3.265539,3.20E-05,998.4375,1414,54,1414
2,489,472671,0.078346542,3.583048,3.10E-05,966.607362,1414,54,1414
2,631,629150,0.066796945,2.833187,2.50E-05,997.0681458,1414,54,1414
2,702,729140,0.044819235,3.055729,3.70E-05,1038.660969,1414,54,1414
2,678,690483,0.065988156,3.353203,3.60E-05,1018.411504,1414,54,1414
2,492,473524,0.081886169,2.983159,3.50E-05,962.4471545,1414,54,1414
2,673,690662,0.060054856,3.190768,3.30E-05,1026.243685,1414,54,1414
2,434,418251,0.091744643,3.99405,2.10E-05,963.7119816,1414,54,1414
2,883,943767,0.038148159,2.776889,3.60E-05,1068.8188,1414,54,1414
3,509,387878,0.053251326,5.168539,2.20E-05,762.0392927,1514,54,1514
3,428,287856,0.080155037,9.853453,2.60E-05,672.5607477,1514,54,1514
3,504,369653,0.089591335,18.658896,2.10E-05,733.4384921,1514,54,1514
3,432,293395,0.079776933,10.868492,2.00E-05,679.1550926,1514,54,1514
3,602,443445,0.063206565,7.997445,1.20E-05,736.6196013,1514,54,1514
3,577,402255,0.051246345,3.950808,2.60E-05,697.1490468,1514,54,1514
3,417,281669,0.084484283,6.345363,2.50E-05,675.4652278,1514,54,1514
3,552,388156,0.061940812,4.759779,2.60E-05,703.1811594,1514,54,1514
3,626,423248,0.053108984,4.52215,1.00E-06,676.115016,1514,54,1514
3,629,436184,0.047555238,3.372362,2.70E-05,693.4562798,1514,54,1514
3,354,230748,0.081509209,8.052013,2.70E-05,651.8305085,1514,54,1514
3,606,412975,0.051212172,3.743255,2.30E-05,681.4768977,1514,54,1514
3,631,437842,0.057614566,4.633612,2.80E-05,693.8858954,1514,54,1514
3,548,383149,0.055427803,4.441349,1.90E-05,699.1770073,1514,54,1514
3,449,300008,0.099569169,25.758209,2.70E-05,668.169265,1514,54,1514
